,OpportunityNumber,OpportunityTitle,OpportunityCategory,FundingInstrumentType,CategoryOfFundingActivity,EligibleApplicants,AgencyCode,AgencyName,PostDate,CloseDate,AwardCeiling,AwardFloor,EstimatedTotalProgramFunding,ExpectedNumberOfAwards,Description,Version,GrantorContactEmail,GrantorContactEmailDescription
1972,PA-21-267,Making Health Care Safer in Ambulatory Care Settings and Long-term Care Facilities (R18),D,G,HL,00_01_02_04_05_06_07_08_11_12_13_20_22_23_25,HHS-AHRQ,Agency for Health Care Research and Quality,2021-09-09,05262024,,,,,"The Agency for Healthcare Research and Quality&apos;s (AHRQ) mission is to produce evidence to make health care safer, of higher quality, more accessible, equitable, and affordable, and to work within the U.S. Department of Health and Human Services and with other partners to make sure that the evidence is understood and used. AHRQ&apos;s Center for Quality Improvement and Patient Safety (CQuIPS) works to ensure patient safety in multiple settings with recent efforts to increase the development of processes including measures, metrics, tools and practices to increase patient safety in the ambulatory care setting and in long-term care facilities.",Synopsis 1,Kathryn.Marron@ahrq.hhs.gov,Kathryn.Marron@ahrq.hhs.gov
2119,RFA-DA-22-040,High Priority HIV and Substance Use Research (R01 Clinical Trial Optional),D,G,HL,00_01_02_04_05_06_07_08_11_12_13_20_22_23_25,HHS-NIH11,National Institutes of Health,2021-09-08,02152024,,,,,"The purpose of this Funding Opportunity Announcement (FOA) is to support high priority research at the intersection of HIV and substance use. This FOA invites innovative research projects with the potential to open new areas of HIV/AIDS research and/or lead to new avenues for prevention, treatment and cure of HIV among people who use drugs (PWUD). Applications submitted under this FOA are required to have a detailed research plan, preliminary data, and a clear description of the nexus with substance use. This FOA is open to both individual researchers and research teams and includes all areas of research from basic science to clinical and implementation research. All studies must focus on NIH HIV/AIDS Research Priorities: NOT-OD-20-018: UPDATE: NIH HIV/AIDS Research Priorities and Guidelines for Determining HIV/AIDS Funding.",Synopsis 1,OERWebmaster03@od.nih.gov,See Section VII. Agency Contacts within the full opportunity announcement for all other inquires.
2120,RFA-DA-22-028,Pharmacokinetics (PK) and Pharmacodynamics (PD) of THC in Cannabis and Cannabis Products (R01 - Clinical Trial Optional),D,G,HL,00_01_02_04_05_06_07_08_11_12_13_20_22_23_25,HHS-NIH11,National Institutes of Health,2021-09-08,02092022,500000,,,,The purpose of this Funding Opportunity Announcement (FOA) is to support human and animal research on the pharmacokinetic (PK) and pharmacodynamic (PD) effects of ?9-tetrahydrocannabinol (THC) that is present in cannabis and cannabis products.,Synopsis 1,OERWebmaster03@od.nih.gov,See Section VII. Agency Contacts within the full opportunity announcement for all other inquires.
2121,RFA-DA-22-039,Pharmacokinetics (PK) and Pharmacodynamics (PD) of THC in Cannabis and Cannabis Products (R21 - Clinical Trial Optional),D,G,HL,00_01_02_04_05_06_07_08_11_12_13_20_22_23_25,HHS-NIH11,National Institutes of Health,2021-09-08,02092022,275000,,,,The purpose of this Funding Opportunity Announcement is to support human and animal research on the pharmacokinetic (PK) and pharmacodynamic (PD) effects of ?9-tetrahydrocannabinol (THC) that is present in cannabis and cannabis products.,Synopsis 1,OERWebmaster03@od.nih.gov,See Section VII. Agency Contacts within the full opportunity announcement for all other inquires.
2122,PAR-21-330,Utilizing the PLCO Biospecimens Resource to Bridge Gaps in Cancer Etiology and Early Detection Research (U01 Clinical Trial Not Allowed),D,CA,HL,00_01_02_04_05_06_07_08_11_12_13_20_22_23_25,HHS-NIH11,National Institutes of Health,2021-09-08,10112024,,,,,"This Funding Opportunity Announcement (FOA) encourages the submission of applications that propose to advance research in cancer etiology and early detection biomarkers, utilizing the advantages of the unique biorepository resources of the NCI-sponsored Prostate, Lung, Colorectal, and Ovarian Cancer (PLCO) Screening Trial. The PLCO Biorepository offers high-quality, prospectively collected, serial pre-diagnostic blood samples from the PLCO screened arm participants, and a onetime collection of buccal cells from the control arm participants. Available data associated with the biospecimens includes demographic, diet, lifestyle, smoking, screening results, and clinical data. This FOA supports a wide range of cancer research including, but not limited to, biochemical and genetic analyses of cancer risk, as well as discovery and validation of early detection biomarkers. The proposed research project must involve use of PLCO biospecimens; additionally, it should also take advantage of the unique characteristics of the PLCO biospecimens. Research projects that do not involve the use of PLCO biospecimens will not be supported under this FOA.",Synopsis 1,OERWebmaster03@od.nih.gov,See Section VII. Agency Contacts within the full opportunity announcement for all other inquires.
2125,RFA-NS-22-009,"Detecting Cognitive Impairment, Including Dementia, in Primary Care and Other Everyday Clinical Settings for the General Public and Health Equity, Pragmatic Clinical Trials (U01 Clinical Trial Required)",D,CA,HL,00_01_02_04_05_06_07_08_11_12_13_20_22_23_25,HHS-NIH11,National Institutes of Health,2021-09-08,11102021,,,,,"The purpose of this funding opportunity announcement (FOA) is to invite applications that address the unmet need to detect cognitive impairment, including dementia, in large and diverse populations seen in primary care across the United States, including in health disparities populations, when a patient, relative, or care provider indicates concern. Proposed clinical paradigms should utilize tools that are simple to use, standardized, and ideally take five minutes or less to administer in a primary care clinical setting.",Synopsis 1,OERWebmaster03@od.nih.gov,See Section VII. Agency Contacts within the full opportunity announcement for all other inquires.
2126,PAR-21-327,Career Transition Award for NINDS Intramural Clinician-Scientists (K22 Clinical Trial Required),D,G,HL,00_01_02_04_05_06_07_08_11_12_13_20_22_23_25,HHS-NIH11,National Institutes of Health,2021-09-10,07122024,,,,,"The objective of the NIH Career Transition Award (K22) is to provide support to outstanding basic or clinical investigators to develop their independent research skills through a two phase program: an initial period involving an intramural appointment at the NIH and a final period of support at an extramural institution. This NINDS K22 is specifically designed to facilitate the transition of NINDS intramural neurologist- and neurosurgeon-scientists to independent, academic faculty positions that support clinician-scientists to engage in independently funded scientific research as well as clinical activities.",Synopsis 1,OERWebmaster03@od.nih.gov,See Section VII. Agency Contacts within the full opportunity announcement for all other inquires.
2127,PAR-21-302,NCI Transition Career Development Award to Promote Diversity (K22 Clinical Trial Required),D,G,HL,00_01_02_04_05_06_07_08_11_12_13_20_22_23_25,HHS-NIH11,National Institutes of Health,2021-09-10,09072024,,,,,"The purpose of the NCI Transition Career Development Award to Promote Diversity is to assist postdoctoral fellows or individuals in equivalent positions to transition to positions of assistant professor or equivalent and initiate a successful biomedical career as an independent research scientist. To this end, the Diversity Training Branch (DTB), within the Center to Reduce Cancer Health Disparities (CRCHD) (http://crchd.cancer.gov/) invites applications from research scientists in postdoctoral positions or equivalent who are from backgrounds nationally underrepresented in biomedical, behavioral, clinical, and/or social sciences. This award will provide &quot;protected time&quot; through salary and research support for 3 years beginning at the time when the candidate starts a tenure-track faculty position.",Synopsis 1,OERWebmaster03@od.nih.gov,See Section VII. Agency Contacts within the full opportunity announcement for all other inquires.
2128,RFA-HL-22-004,An Intergenerational Precision Medicine Research Program for the Study of Factor VIII Immunogenicity in Severe Hemophilia A: Hemophilia A Analytical Cohort Research Program (UG3/UH3 Clinical Trial Not Allowed),D,CA,HL,00_01_02_04_05_06_07_08_11_12_13_20_22_23_25,HHS-NIH11,National Institutes of Health,2021-09-09,10192021,,,,,"The purpose of this FOA is to support applications that propose the establishment of a Hemophilia A Analytical Cohort Research Program (HARP) that will: 1) collaborate with an established consortium of clinical centers to support the recruitment, enrollment, and follow-up of an antenatal/ neonatal/ pediatric cohort in severe hemophilia A; 2) provide data management, laboratory, and biospecimen support necessary for the establishment of a unique and sharable biospecimen resource annotated with robust intergenerational clinical and demographic data to enable future studies of FVIII immunogenicity; and 3) develop and implement protocols and procedures to conduct hypothesis-driven research studies utilizing data and biospecimens from the antenatal/neonatal/pediatric cohort. The role of HARP is to provide overall project coordination, administration, data and biospecimen management, research protocols and procedures development and implementation, biostatistics/data analytics support; as well as laboratory (including multi-omics) and biorepository expertise for development of this unique intergenerational cohort and resource. HARP, in collaboration with the consortium of clinical centers, will lead the scientific development, pragmatic implementation, and expert conduct of the hypothesis-driven protocols that will permit the establishment of the severe Hemophilia A intergenerational cohort, utilization of some of the cohort longitudinal data and biospecimens, and establishment of a shareable resource for the scientific community.",Synopsis 1,OERWebmaster03@od.nih.gov,See Section VII. Agency Contacts within the full opportunity announcement for all other inquires.
2129,PAR-21-301,NCI Transition Career Development Award to Promote Diversity (K22 Independent Clinical Trial Not Allowed),D,G,HL,00_01_02_04_05_06_07_08_11_12_13_20_22_23_25,HHS-NIH11,National Institutes of Health,2021-09-10,09072024,,,,,The purpose of the NCI Transition Career Development Award to Promote Diversity (K22) is to assist postdoctoral fellows or individuals in equivalent positions to transition to positions of assistant professor or equivalent and initiate a successful biomedical career as an independent research scientist,Synopsis 1,OERWebmaster03@od.nih.gov,See Section VII. Agency Contacts within the full opportunity announcement for all other inquires.
